# Open Vantage ISMS – Bulk Status Update Example
# Format: control_id,status
# Status values: implemented | partial | not_implemented
# Lines starting with # are comments and are ignored
#
# HOW TO USE:
#   python scripts/update_control_status.py --bulk scripts/bulk_update_example.csv
#
# ── PHASE 1: Foundation (Months 1-2) ─────────────────────────────────────────
5.1,implemented
5.10,implemented
5.12,implemented
5.15,implemented
5.16,implemented
#
# ── PHASE 2: Technical Controls (Months 2-4) ─────────────────────────────────
# Uncomment and run when ready:
# 8.5,implemented
# 8.7,implemented
# 8.8,partial
# 8.15,partial
# 8.16,partial
#
# ── PHASE 3: Process & People (Months 3-5) ───────────────────────────────────
# 6.3,partial
# 6.7,implemented
# 5.19,partial
# 5.20,partial
# 5.24,partial
